#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 7.97184817122689e-005 75.9194299803837 -337.368990083354 2043.46532418271 0.0426849429774865 0.0121247031658323 0.179072551909079 0.102505999919617 0.802794137004707 0.151584444993473 1.29547422011737 1.29547933012103 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 7.82695722118868e-005 76.5069695086486 -341.445102410028 2046.99014406636 0.0435700793621366 0.0120473882786151 0.179258070422022 0.102582863694398 0.802619957728697 0.136314766336342 1.21126514836609 1.21141272264331 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 120 0 0 0 0.02 9.67593042547932e-005 70.1355036085204 -267.275321798362 2008.76667370842 0.0365101464359746 0.0130032644104933 0.177457861357277 0.101346318218991 0.804248678643724 0.146085840113617 1.16318401109948 1.16321989886911 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 121 0 0 0 0.02 9.49609344361871e-005 70.673905652329 -273.103779897212 2011.99656804077 0.0369381807730722 0.0129137716402378 0.177589971792557 0.101456453286836 0.804131509705335 0.143343379651617 1.18871638868339 1.18877574857002 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 120 0 0 0 0.05 0.000127109631080598 63.0352370332752 -123.229236417328 1966.17381515108 0.0328329953270952 0.0144333525060394 0.175660268421165 0.0998377073883574 0.805843678739575 0.178545969072803 1.13676244952046 1.1370016811957 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 121 0 0 0 0.05 0.000124731906982919 63.5136163390876 -131.747213976441 1969.04340620141 0.0330033971185925 0.0143281877959366 0.175733839984225 0.0999925354614187 0.805789872413649 0.151888801190328 0.88203400429742 0.882040306482485 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 120 0 0 0 0.1 0.000158918228996889 58.0946571466659 42.7430083677077 1936.53949670762 0.0319269669106581 0.0157917507961666 0.174472320788046 0.0985765724688786 0.80686744147596 0.172124409064647 0.884255427126865 0.884416934924965 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 121 0 0 0 0.1 0.000155840580354774 58.5310754596859 30.9578274242949 1939.15712022293 0.0319845528535733 0.0156678312724939 0.17453074199631 0.098751954567402 0.806830905026196 0.173025258983927 0.91434181141998 0.914515098351515 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 120 0 0 0 0.2 0.000203504156412284 53.5189708207522 289.482317585404 1909.09821949923 0.0322376106034731 0.0175215054476963 0.173251163591451 0.097179166966607 0.807910187528423 0.166128269401817 0.762684461819284 0.76276242114079 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 121 0 0 0 0.2 0.000199169774678623 53.9170769948581 271.533917947995 1911.48560824193 0.0321941565490246 0.0173633880747256 0.17332086420097 0.0973645533243636 0.807863315027431 0.166571940079638 0.769861716572372 0.769945360985211 1 4.65175731857173e-005 
