#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 120 0 0 0 0.1 0.000469254668658943 57.8911029463166 678.620652910021 1885.78064431508 0.057381257739801 0.0273339431064384 0.180148905178044 0.109356147887211 0.802631196571798 0.0656623095241391 1.14781702167174 1.15130580200817 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 121 0 0 0 0.1 0.000458094502175245 58.3225345458996 692.500855338922 1888.36612022613 0.0574001649739437 0.0270597484955853 0.180574759847381 0.109487530641893 0.802227235630278 0.0655597728026376 1.16747546489937 1.17091352058679 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 120 0 0 0 0.2 0.000582054189753108 53.3262869607916 982.15642786553 1858.42321946831 0.0565538024790954 0.0298266816362681 0.176614832708621 0.107447709946196 0.805875785644094 0.070148084743863 1.0220791074516 1.02561369893942 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 121 0 0 0 0.2 0.000569713054771896 53.7207394323841 1005.81924042441 1860.78649112121 0.0565129177743439 0.0295604524415829 0.176965760675003 0.10752210708684 0.805537919299321 0.0700375756230243 1.02498175322447 1.02851551633796 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 120 0 0 0 0.5 0.000776375150414101 47.8282924888204 1519.25598734455 1825.48946818451 0.0573656943142265 0.0336283327138471 0.172585684621509 0.10537416309642 0.809596643383263 0.135176743035504 0.922341162894578 0.922558982961143 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 121 0 0 0 0.5 0.00076070514130357 48.1788016651822 1555.93632184093 1827.58815131014 0.0572278803786674 0.0333377808698402 0.172857651181536 0.105476148599085 0.809340275889216 0.135891780135647 0.999700444274003 0.999887332682984 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 120 0 0 0 1 0.000977703354305199 44.0500631763071 2087.23158019785 1802.87626287832 0.0594065546227984 0.0371306389992547 0.170044933289634 0.103682303872171 0.811898059014046 0.138452898242107 0.741841303014417 0.742030833857652 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 121 0 0 0 1 0.000957566050815647 44.3711459840778 2134.38490485778 1804.79714141727 0.0591797714497247 0.0367965544382139 0.170254645246502 0.103829386293379 0.811708865417355 0.138502273182715 0.756963400110067 0.75714805357102 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d2.000 5 120 0 0 0 2 0.00123708860875423 40.5759338022774 2827.35616910791 1782.10385512013 0.0623954109112104 0.041158024072924 0.168162536249115 0.101782122053686 0.81352515902306 0.137546007188475 0.645064920333777 0.645307082650448 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d2.000 5 121 0 0 0 2 0.00121208038135565 40.8703348063906 2890.77191237598 1783.86328384936 0.0621103138544915 0.0407902542970312 0.168296998235533 0.101961503369049 0.813414219722044 0.137558679310222 0.650898975415771 0.651138624118588 1 9.13432472633322e-005 
